timestamp,site_name,asset_id,sensor_name,value,unit
2024-01-01T00:00:00,PLANT1,Boiler_3,temperature,38.14,unit
2024-01-01T00:01:00,PLANT1,Boiler_3,temperature,80.32,unit
2024-01-01T00:02:00,MAIN,Chiller_1,vibration,92.81,unit
2024-01-01T00:03:00,PLANT1,Boiler_3,temperature,31.56,unit
2024-01-01T00:04:00,PLANT1,Boiler_3,pressure,86.09,unit
2024-01-01T00:05:00,PLANT1,Boiler_3,vibration,66.4,unit
2024-01-01T00:06:00,PLANT1,Boiler_3,temperature,88.99,unit
2024-01-01T00:07:00,MAIN,Chiller_1,vibration,17.49,unit
2024-01-01T00:08:00,MAIN,AHU_2,vibration,52.84,unit
2024-01-01T00:09:00,PLANT1,Boiler_3,temperature,27.44,unit
2024-01-01T00:10:00,PLANT1,Boiler_3,vibration,93.39,unit
2024-01-01T00:11:00,PLANT1,Boiler_3,pressure,42.75,unit
2024-01-01T00:12:00,MAIN,Chiller_1,temperature,89.46,unit
2024-01-01T00:13:00,PLANT1,Boiler_3,vibration,46.15,unit
2024-01-01T00:14:00,PLANT1,Boiler_3,pressure,89.72,unit
2024-01-01T00:15:00,MAIN,Chiller_1,temperature,14.67,unit
2024-01-01T00:16:00,MAIN,AHU_2,pressure,57.47,unit
2024-01-01T00:17:00,PLANT1,Boiler_3,temperature,42.34,unit
2024-01-01T00:18:00,MAIN,Chiller_1,temperature,40.13,unit
2024-01-01T00:19:00,MAIN,AHU_2,temperature,26.99,unit
2024-01-01T00:20:00,PLANT1,Boiler_3,pressure,84.41,unit
2024-01-01T00:21:00,MAIN,AHU_2,vibration,95.6,unit
2024-01-01T00:22:00,PLANT1,Boiler_3,pressure,27.76,unit
2024-01-01T00:23:00,PLANT1,Boiler_3,pressure,99.82,unit
2024-01-01T00:24:00,MAIN,AHU_2,temperature,53.67,unit
2024-01-01T00:25:00,MAIN,Chiller_1,pressure,22.33,unit
2024-01-01T00:26:00,MAIN,Chiller_1,vibration,83.42,unit
2024-01-01T00:27:00,MAIN,AHU_2,pressure,32.99,unit
2024-01-01T00:28:00,PLANT1,Boiler_3,pressure,28.88,unit
2024-01-01T00:29:00,MAIN,AHU_2,pressure,25.26,unit
2024-01-01T00:30:00,MAIN,Chiller_1,vibration,90.48,unit
2024-01-01T00:31:00,PLANT1,Boiler_3,temperature,81.93,unit
2024-01-01T00:32:00,PLANT1,Boiler_3,vibration,46.11,unit
2024-01-01T00:33:00,MAIN,Chiller_1,pressure,12.57,unit
2024-01-01T00:34:00,MAIN,Chiller_1,temperature,45.9,unit
2024-01-01T00:35:00,MAIN,Chiller_1,temperature,69.25,unit
2024-01-01T00:36:00,PLANT1,Boiler_3,pressure,37.17,unit
2024-01-01T00:37:00,MAIN,AHU_2,pressure,69.55,unit
2024-01-01T00:38:00,PLANT1,Boiler_3,pressure,64.81,unit
2024-01-01T00:39:00,PLANT1,Boiler_3,temperature,75.51,unit
2024-01-01T00:40:00,MAIN,Chiller_1,vibration,84.4,unit
2024-01-01T00:41:00,PLANT1,Boiler_3,pressure,11.08,unit
2024-01-01T00:42:00,PLANT1,Boiler_3,pressure,59.7,unit
2024-01-01T00:43:00,MAIN,AHU_2,temperature,82.51,unit
2024-01-01T00:44:00,MAIN,AHU_2,pressure,11.74,unit
2024-01-01T00:45:00,PLANT1,Boiler_3,pressure,34.11,unit
2024-01-01T00:46:00,MAIN,AHU_2,vibration,87.2,unit
2024-01-01T00:47:00,PLANT1,Boiler_3,vibration,62.35,unit
2024-01-01T00:48:00,MAIN,Chiller_1,temperature,88.38,unit
2024-01-01T00:49:00,MAIN,AHU_2,temperature,40.45,unit
2024-01-01T00:50:00,MAIN,Chiller_1,pressure,22.13,unit
2024-01-01T00:51:00,PLANT1,Boiler_3,vibration,52.49,unit
2024-01-01T00:52:00,PLANT1,Boiler_3,pressure,17.5,unit
2024-01-01T00:53:00,PLANT1,Boiler_3,pressure,93.94,unit
2024-01-01T00:54:00,PLANT1,Boiler_3,temperature,31.2,unit
2024-01-01T00:55:00,MAIN,AHU_2,temperature,75.74,unit
2024-01-01T00:56:00,MAIN,AHU_2,vibration,65.67,unit
2024-01-01T00:57:00,PLANT1,Boiler_3,pressure,74.42,unit
2024-01-01T00:58:00,PLANT1,Boiler_3,pressure,29.89,unit
2024-01-01T00:59:00,MAIN,Chiller_1,pressure,92.83,unit
2024-01-01T01:00:00,PLANT1,Boiler_3,pressure,81.54,unit
2024-01-01T01:01:00,MAIN,Chiller_1,pressure,58.42,unit
2024-01-01T01:02:00,PLANT1,Boiler_3,pressure,79.22,unit
2024-01-01T01:03:00,MAIN,Chiller_1,pressure,11.14,unit
2024-01-01T01:04:00,MAIN,Chiller_1,vibration,47.04,unit
2024-01-01T01:05:00,PLANT1,Boiler_3,pressure,37.44,unit
2024-01-01T01:06:00,PLANT1,Boiler_3,temperature,59.52,unit
2024-01-01T01:07:00,PLANT1,Boiler_3,vibration,34.42,unit
2024-01-01T01:08:00,PLANT1,Boiler_3,temperature,28.88,unit
2024-01-01T01:09:00,PLANT1,Boiler_3,vibration,92.01,unit
2024-01-01T01:10:00,PLANT1,Boiler_3,pressure,72.3,unit
2024-01-01T01:11:00,MAIN,AHU_2,vibration,27.36,unit
